equal,pyth,pure,length
932.3275230361799,927.0781893004115,938.6666666666666,0.5
830.6093951598903,824.0695016003658,844.8000000000001,0.5
698.4564628660078,695.3086419753087,704.0,0.5
622.2539674441618,618.0521262002744,633.6,0.5
698.4564628660078,695.3086419753087,704.0,1.0
622.2539674441618,618.0521262002744,633.6,1.0
698.4564628660078,695.3086419753087,704.0,2.0
830.6093951598903,824.0695016003658,844.8000000000001,0.5
698.4564628660078,695.3086419753087,704.0,0.5
554.3652619537442,549.3796677335772,563.2,1.0
932.3275230361799,927.0781893004115,938.6666666666666,0.5
830.6093951598903,824.0695016003658,844.8000000000001,0.5
932.3275230361799,927.0781893004115,938.6666666666666,0.5
1046.5022612023945,1042.962962962963,1056.0,0.5
1108.7305239074883,1098.7593354671544,1126.4,1.0
1046.5022612023945,1042.962962962963,1056.0,1.0
932.3275230361799,927.0781893004115,938.6666666666666,1.0
554.3652619537442,549.3796677335772,563.2,0.5
523.2511306011972,521.4814814814815,528.0,0.5
466.1637615180899,463.53909465020575,469.3333333333333,2.0
932.3275230361799,927.0781893004115,938.6666666666666,0.5
830.6093951598903,824.0695016003658,844.8000000000001,0.5
698.4564628660078,695.3086419753087,704.0,0.5
622.2539674441618,618.0521262002744,633.6,0.5
698.4564628660078,695.3086419753087,704.0,1.0
622.2539674441618,618.0521262002744,633.6,1.0
698.4564628660078,695.3086419753087,704.0,2.0
830.6093951598903,824.0695016003658,844.8000000000001,0.5
698.4564628660078,695.3086419753087,704.0,0.5
554.3652619537442,549.3796677335772,563.2,1.0
932.3275230361799,927.0781893004115,938.6666666666666,0.5
830.6093951598903,824.0695016003658,844.8000000000001,0.5
932.3275230361799,927.0781893004115,938.6666666666666,0.5
1046.5022612023945,1042.962962962963,1056.0,0.5
1108.7305239074883,1098.7593354671544,1126.4,1.0
1046.5022612023945,1042.962962962963,1056.0,1.0
932.3275230361799,927.0781893004115,938.6666666666666,4.0
932.3275230361799,927.0781893004115,938.6666666666666,4.0
698.4564628660078,695.3086419753087,704.0,0.25
622.2539674441618,618.0521262002744,633.6,0.25
698.4564628660078,695.3086419753087,704.0,0.25
932.3275230361799,927.0781893004115,938.6666666666666,0.5
698.4564628660078,695.3086419753087,704.0,0.25
622.2539674441618,618.0521262002744,633.6,0.5
698.4564628660078,695.3086419753087,704.0,1.0
622.2539674441618,618.0521262002744,633.6,1.0
698.4564628660078,695.3086419753087,704.0,0.25
622.2539674441618,618.0521262002744,633.6,0.25
698.4564628660078,695.3086419753087,704.0,0.25
932.3275230361799,927.0781893004115,938.6666666666666,0.5
698.4564628660078,695.3086419753087,704.0,0.25
622.2539674441618,618.0521262002744,633.6,0.5
698.4564628660078,695.3086419753087,704.0,2.0
698.4564628660078,695.3086419753087,704.0,0.25
622.2539674441618,618.0521262002744,633.6,0.25
698.4564628660078,695.3086419753087,704.0,0.25
932.3275230361799,927.0781893004115,938.6666666666666,0.5
698.4564628660078,695.3086419753087,704.0,0.25
622.2539674441618,618.0521262002744,633.6,0.5
698.4564628660078,695.3086419753087,704.0,0.25
622.2539674441618,618.0521262002744,633.6,0.25
698.4564628660078,695.3086419753087,704.0,0.25
830.6093951598903,824.0695016003658,844.8000000000001,0.5
698.4564628660078,695.3086419753087,704.0,0.25
622.2539674441618,618.0521262002744,633.6,0.5
698.4564628660078,695.3086419753087,704.0,0.5
622.2539674441618,618.0521262002744,633.6,0.5
698.4564628660078,695.3086419753087,704.0,0.5
830.6093951598903,824.0695016003658,844.8000000000001,0.5
932.3275230361799,927.0781893004115,938.6666666666666,2.0
698.4564628660078,695.3086419753087,704.0,0.25
622.2539674441618,618.0521262002744,633.6,0.25
698.4564628660078,695.3086419753087,704.0,0.25
932.3275230361799,927.0781893004115,938.6666666666666,0.5
698.4564628660078,695.3086419753087,704.0,0.25
622.2539674441618,618.0521262002744,633.6,0.5
698.4564628660078,695.3086419753087,704.0,1.0
622.2539674441618,618.0521262002744,633.6,1.0
698.4564628660078,695.3086419753087,704.0,0.25
622.2539674441618,618.0521262002744,633.6,0.25
698.4564628660078,695.3086419753087,704.0,0.25
932.3275230361799,927.0781893004115,938.6666666666666,0.5
698.4564628660078,695.3086419753087,704.0,0.25
622.2539674441618,618.0521262002744,633.6,0.5
698.4564628660078,695.3086419753087,704.0,2.0
698.4564628660078,695.3086419753087,704.0,0.25
622.2539674441618,618.0521262002744,633.6,0.25
698.4564628660078,695.3086419753087,704.0,0.25
932.3275230361799,927.0781893004115,938.6666666666666,0.5
698.4564628660078,695.3086419753087,704.0,0.25
622.2539674441618,618.0521262002744,633.6,0.5
1046.5022612023945,1042.962962962963,1056.0,0.25
932.3275230361799,927.0781893004115,938.6666666666666,0.25
1046.5022612023945,1042.962962962963,1056.0,0.25
1244.5079348883237,1236.1042524005488,1267.2,0.5
1108.7305239074883,1098.7593354671544,1126.4,0.25
1046.5022612023945,1042.962962962963,1056.0,0.5
1046.5022612023945,1042.962962962963,1056.0,1.0
1046.5022612023945,1042.962962962963,1056.0,0.5
1108.7305239074883,1098.7593354671544,1126.4,2.5
698.4564628660078,695.3086419753087,704.0,0.25
622.2539674441618,618.0521262002744,633.6,0.25
698.4564628660078,695.3086419753087,704.0,0.25
932.3275230361799,927.0781893004115,938.6666666666666,0.5
698.4564628660078,695.3086419753087,704.0,0.25
622.2539674441618,618.0521262002744,633.6,0.5
698.4564628660078,695.3086419753087,704.0,1.0
622.2539674441618,618.0521262002744,633.6,1.0
698.4564628660078,695.3086419753087,704.0,0.25
622.2539674441618,618.0521262002744,633.6,0.25
698.4564628660078,695.3086419753087,704.0,0.25
932.3275230361799,927.0781893004115,938.6666666666666,0.5
698.4564628660078,695.3086419753087,704.0,0.25
622.2539674441618,618.0521262002744,633.6,0.5
698.4564628660078,695.3086419753087,704.0,2.0
698.4564628660078,695.3086419753087,704.0,0.25
622.2539674441618,618.0521262002744,633.6,0.25
698.4564628660078,695.3086419753087,704.0,0.25
932.3275230361799,927.0781893004115,938.6666666666666,0.5
698.4564628660078,695.3086419753087,704.0,0.25
622.2539674441618,618.0521262002744,633.6,0.5
698.4564628660078,695.3086419753087,704.0,0.25
622.2539674441618,618.0521262002744,633.6,0.25
698.4564628660078,695.3086419753087,704.0,0.25
830.6093951598903,824.0695016003658,844.8000000000001,0.5
698.4564628660078,695.3086419753087,704.0,0.25
622.2539674441618,618.0521262002744,633.6,0.5
698.4564628660078,695.3086419753087,704.0,0.5
622.2539674441618,618.0521262002744,633.6,0.5
698.4564628660078,695.3086419753087,704.0,0.5
830.6093951598903,824.0695016003658,844.8000000000001,0.5
932.3275230361799,927.0781893004115,938.6666666666666,2.0
698.4564628660078,695.3086419753087,704.0,0.25
622.2539674441618,618.0521262002744,633.6,0.25
698.4564628660078,695.3086419753087,704.0,0.25
932.3275230361799,927.0781893004115,938.6666666666666,0.5
698.4564628660078,695.3086419753087,704.0,0.25
622.2539674441618,618.0521262002744,633.6,0.5
698.4564628660078,695.3086419753087,704.0,1.0
622.2539674441618,618.0521262002744,633.6,1.0
698.4564628660078,695.3086419753087,704.0,0.25
622.2539674441618,618.0521262002744,633.6,0.25
698.4564628660078,695.3086419753087,704.0,0.25
932.3275230361799,927.0781893004115,938.6666666666666,0.5
698.4564628660078,695.3086419753087,704.0,0.25
622.2539674441618,618.0521262002744,633.6,0.5
698.4564628660078,695.3086419753087,704.0,2.0
698.4564628660078,695.3086419753087,704.0,0.25
622.2539674441618,618.0521262002744,633.6,0.25
698.4564628660078,695.3086419753087,704.0,0.25
932.3275230361799,927.0781893004115,938.6666666666666,0.5
698.4564628660078,695.3086419753087,704.0,0.25
622.2539674441618,618.0521262002744,633.6,0.5
1046.5022612023945,1042.962962962963,1056.0,0.25
932.3275230361799,927.0781893004115,938.6666666666666,0.25
1046.5022612023945,1042.962962962963,1056.0,0.25
1244.5079348883237,1236.1042524005488,1267.2,0.5
1108.7305239074883,1098.7593354671544,1126.4,0.25
1046.5022612023945,1042.962962962963,1056.0,0.5
1046.5022612023945,1042.962962962963,1056.0,1.0
1046.5022612023945,1042.962962962963,1056.0,0.5
1108.7305239074883,1098.7593354671544,1126.4,0.5
2793.825851464031,2781.2345679012346,2816.0,0.25
2217.4610478149766,2197.518670934309,2252.8,0.25
2093.004522404789,2085.925925925926,2112.0,0.25
1864.6550460723597,1854.156378600823,1877.3333333333333,0.25
1396.9129257320155,1390.6172839506173,1408.0,0.25
1108.7305239074883,1098.7593354671544,1126.4,0.25
1046.5022612023945,1042.962962962963,1056.0,0.25
932.3275230361799,927.0781893004115,938.6666666666666,0.25
932.3275230361799,927.0781893004115,938.6666666666666,0.5
698.4564628660078,695.3086419753087,704.0,0.5
622.2539674441618,618.0521262002744,633.6,0.5
698.4564628660078,695.3086419753087,704.0,0.5
830.6093951598903,824.0695016003658,844.8000000000001,0.5
698.4564628660078,695.3086419753087,704.0,0.5
622.2539674441618,618.0521262002744,633.6,0.5
698.4564628660078,695.3086419753087,704.0,0.5
830.6093951598903,824.0695016003658,844.8000000000001,0.5
622.2539674441618,618.0521262002744,633.6,0.5
698.4564628660078,695.3086419753087,704.0,0.5
830.6093951598903,824.0695016003658,844.8000000000001,0.5
932.3275230361799,927.0781893004115,938.6666666666666,2.0
1244.5079348883237,1236.1042524005488,1267.2,0.5
1046.5022612023945,1042.962962962963,1056.0,0.5
932.3275230361799,927.0781893004115,938.6666666666666,0.5
830.6093951598903,824.0695016003658,844.8000000000001,0.5
932.3275230361799,927.0781893004115,938.6666666666666,0.5
830.6093951598903,824.0695016003658,844.8000000000001,0.25
698.4564628660078,695.3086419753087,704.0,0.25
622.2539674441618,618.0521262002744,633.6,0.25
698.4564628660078,695.3086419753087,704.0,0.25
830.6093951598903,824.0695016003658,844.8000000000001,0.25
622.2539674441618,618.0521262002744,633.6,0.25
698.4564628660078,695.3086419753087,704.0,0.5
932.3275230361799,927.0781893004115,938.6666666666666,0.5
830.6093951598903,824.0695016003658,844.8000000000001,0.5
622.2539674441618,618.0521262002744,633.6,0.5
698.4564628660078,695.3086419753087,704.0,0.5
932.3275230361799,927.0781893004115,938.6666666666666,0.25
698.4564628660078,695.3086419753087,704.0,0.5
622.2539674441618,618.0521262002744,633.6,0.25
698.4564628660078,695.3086419753087,704.0,0.5
698.4564628660078,695.3086419753087,704.0,0.5
622.2539674441618,618.0521262002744,633.6,0.25
698.4564628660078,695.3086419753087,704.0,0.5
932.3275230361799,927.0781893004115,938.6666666666666,0.25
698.4564628660078,695.3086419753087,704.0,0.5
830.6093951598903,824.0695016003658,844.8000000000001,0.5
698.4564628660078,695.3086419753087,704.0,0.5
622.2539674441618,618.0521262002744,633.6,0.5
698.4564628660078,695.3086419753087,704.0,0.5
698.4564628660078,695.3086419753087,704.0,0.5
622.2539674441618,618.0521262002744,633.6,0.25
698.4564628660078,695.3086419753087,704.0,0.5
932.3275230361799,927.0781893004115,938.6666666666666,0.25
698.4564628660078,695.3086419753087,704.0,0.25
622.2539674441618,618.0521262002744,633.6,0.25
698.4564628660078,695.3086419753087,704.0,1.0
622.2539674441618,618.0521262002744,633.6,0.5
698.4564628660078,695.3086419753087,704.0,0.5
698.4564628660078,695.3086419753087,704.0,0.25
622.2539674441618,618.0521262002744,633.6,0.25
698.4564628660078,695.3086419753087,704.0,0.25
932.3275230361799,927.0781893004115,938.6666666666666,0.25
698.4564628660078,695.3086419753087,704.0,0.25
622.2539674441618,618.0521262002744,633.6,0.25
698.4564628660078,695.3086419753087,704.0,0.25
932.3275230361799,927.0781893004115,938.6666666666666,0.25
1046.5022612023945,1042.962962962963,1056.0,0.25
932.3275230361799,927.0781893004115,938.6666666666666,0.25
698.4564628660078,695.3086419753087,704.0,0.25
932.3275230361799,927.0781893004115,938.6666666666666,0.25
1046.5022612023945,1042.962962962963,1056.0,0.25
932.3275230361799,927.0781893004115,938.6666666666666,0.25
698.4564628660078,695.3086419753087,704.0,0.25
932.3275230361799,927.0781893004115,938.6666666666666,0.25
1108.7305239074883,1098.7593354671544,1126.4,0.25
1046.5022612023945,1042.962962962963,1056.0,0.25
698.4564628660078,695.3086419753087,704.0,0.25
1046.5022612023945,1042.962962962963,1056.0,0.25
1108.7305239074883,1098.7593354671544,1126.4,0.25
1046.5022612023945,1042.962962962963,1056.0,0.25
698.4564628660078,695.3086419753087,704.0,0.25
1046.5022612023945,1042.962962962963,1056.0,0.25
1108.7305239074883,1098.7593354671544,1126.4,0.25
1046.5022612023945,1042.962962962963,1056.0,0.25
698.4564628660078,695.3086419753087,704.0,0.25
1046.5022612023945,1042.962962962963,1056.0,0.25
1108.7305239074883,1098.7593354671544,1126.4,0.25
1046.5022612023945,1042.962962962963,1056.0,0.25
698.4564628660078,695.3086419753087,704.0,0.25
1046.5022612023945,1042.962962962963,1056.0,0.25
2217.4610478149766,2197.518670934309,2252.8,0.25
2093.004522404789,2085.925925925926,2112.0,0.25
1396.9129257320155,1390.6172839506173,1408.0,0.25
2093.004522404789,2085.925925925926,2112.0,0.25
2217.4610478149766,2197.518670934309,2252.8,0.25
2093.004522404789,2085.925925925926,2112.0,0.25
1396.9129257320155,1390.6172839506173,1408.0,0.25
2093.004522404789,2085.925925925926,2112.0,0.25
2217.4610478149766,2197.518670934309,2252.8,0.25
2093.004522404789,2085.925925925926,2112.0,0.25
1396.9129257320155,1390.6172839506173,1408.0,0.25
2093.004522404789,2085.925925925926,2112.0,0.25
2217.4610478149766,2197.518670934309,2252.8,0.25
2093.004522404789,2085.925925925926,2112.0,0.25
1396.9129257320155,1390.6172839506173,1408.0,0.25
2093.004522404789,2085.925925925926,2112.0,0.25
